id,startup_name,slug,dpiit_recognized,registration_number,founded_year,founder_count,sector_id,state_id,city,funding_stage,total_funding_usd,valuation_usd,annual_revenue_inr,employee_count,women_led,sustainability_focus,ai_enabled,export_business,website,email,phone,linkedin_url,status,last_funding_date,growth_percentage,jobs_created,patents_filed,description,created_at,updated_at
125,MoveIt Tech,moveit-tech,Yes,DPIIT83023,2017,3,16,6,Vadodara,Pre-Seed,1046319,3253188,108700220,63,No,Yes,No,Yes,https://www.moveit-tech.in,hello@moveit-tech.com,+91-9272557267,https://linkedin.com/company/moveit-tech,Active,2024-04-05,75.37,2,0,"A pioneering ClimateTech startup based in Vadodara, focused on AI-driven insights.",2017-11-10 00:51:57,2024-08-04 18:23:54
126,SwiftLogix Tech,swiftlogix-tech,No,DPIIT68340,2014,2,16,2,Thane,Seed,1915926,5770038,53058106,179,No,Yes,No,Yes,https://www.swiftlogix-tech.io,hello@swiftlogix-tech.in,+91-7462889778,https://linkedin.com/company/swiftlogix-tech,Inactive,2020-09-22,167.71,91,5,"A innovative ClimateTech startup based in Thane, focused on market disruption.",2015-06-15 05:57:06,2024-05-24 06:38:09
127,LabGen Ventures,labgen-ventures,No,DPIIT56965,2015,2,15,14,Gwalior,Bootstrapped,0,4651163,36145495,91,No,Yes,No,No,https://www.labgen-ventures.com,hello@labgen-ventures.io,+91-7390642177,https://linkedin.com/company/labgen-ventures,Inactive,,49.69,86,20,"A pioneering Robotics startup based in Gwalior, focused on market disruption.",2016-07-30 18:44:34,2024-06-18 12:48:34
128,GreenCap Labs,greencap-labs,No,DPIIT47643,2018,4,15,2,Pune,Series C,149983,695717690,218023670,3614,No,No,No,Yes,https://www.greencap-labs.in,hello@greencap-labs.com,+91-8319069607,https://linkedin.com/company/greencap-labs,Failed,2018-12-04,-58.59,2408,23,"A innovative Robotics startup based in Pune, focused on sustainable growth.",2018-02-19 17:01:03,2023-11-07 12:12:22
129,ClinicAI,clinicai,No,DPIIT90349,2015,2,17,8,Thrissur,Series A,489452,29057485,200084578,416,No,Yes,Yes,No,https://www.clinicai.in,hello@clinicai.io,+91-7499637931,https://linkedin.com/company/clinicai,Failed,2016-02-09,-45.33,150,0,"A innovative FoodTech startup based in Thrissur, focused on sustainable growth.",2015-07-01 12:52:14,2024-01-16 12:02:09
130,LearnSphere Pro,learnsphere-pro,No,DPIIT73991,2015,4,14,2,Nagpur,Series B,67658864,333347643,485304705,2587,No,No,No,No,https://www.learnsphere-pro.com,hello@learnsphere-pro.io,+91-8928990967,https://linkedin.com/company/learnsphere-pro,Active,2024-11-08,82.89,529,5,"A innovative EV startup based in Nagpur, focused on digital transformation.",2016-10-14 03:07:10,2024-05-15 02:11:34
131,CleanWatt Tech,cleanwatt-tech,Yes,DPIIT72759,2016,4,13,14,Jabalpur,Angel,1701412,4940395,460297410,150,No,Yes,Yes,Yes,https://www.cleanwatt-tech.co.in,hello@cleanwatt-tech.com,+91-7359093748,https://linkedin.com/company/cleanwatt-tech,Active,2017-03-20,54.29,19,1,"A emerging Mobility startup based in Jabalpur, focused on market disruption.",2017-01-14 14:47:09,2024-03-28 19:49:02
132,MoneyMap Now,moneymap-now,Yes,DPIIT18342,2017,3,7,7,Lucknow,Series C,91746170,442992157,8629545,1301,Yes,Yes,Yes,No,https://www.moneymap-now.io,hello@moneymap-now.io,+91-8884939143,https://linkedin.com/company/moneymap-now,Active,2019-10-25,124.79,53,3,"A leading E-Commerce startup based in Lucknow, focused on scalable solutions.",2018-09-09 16:18:35,2023-06-14 04:35:20
133,GreenPath India,greenpath-india,Yes,DPIIT60793,2017,1,17,6,Rajkot,Series A,15378154,71417990,92222548,2685,Yes,No,Yes,No,https://www.greenpath-india.com,hello@greenpath-india.io,+91-9343259163,https://linkedin.com/company/greenpath-india,Active,2017-06-07,-17.82,304,0,"A emerging FoodTech startup based in Rajkot, focused on market disruption.",2018-10-23 12:18:43,2024-09-22 12:28:58
134,SoilSense Hub,soilsense-hub,Yes,DPIIT49302,2015,2,15,5,Madurai,Series A,7569227,26595041,289006909,3000,No,Yes,Yes,No,https://www.soilsense-hub.in,hello@soilsense-hub.in,+91-7536974939,https://linkedin.com/company/soilsense-hub,Active,2016-08-14,306.32,2568,11,"A innovative Robotics startup based in Madurai, focused on AI-driven insights.",2016-03-07 13:29:46,2024-04-08 14:24:29
135,ZapCharge Ventures,zapcharge-ventures,No,DPIIT24240,2021,4,5,2,Nashik,Series C,135274909,334986428,117479140,1614,Yes,No,Yes,No,https://www.zapcharge-ventures.io,hello@zapcharge-ventures.io,+91-8770032700,https://linkedin.com/company/zapcharge-ventures,Inactive,2022-02-03,59.0,106,1,"A innovative AI/ML startup based in Nashik, focused on sustainable growth.",2022-07-19 05:42:24,2024-06-13 13:11:28
136,AgriVision Box,agrivision-box,Yes,DPIIT90258,2021,4,6,2,Thane,Angel,2862919,6909202,345262104,107,No,No,No,Yes,https://www.agrivision-box.com,hello@agrivision-box.com,+91-7368293703,https://linkedin.com/company/agrivision-box,Active,2022-02-10,262.17,4,0,"A leading SaaS startup based in Thane, focused on sustainable growth.",2021-04-03 10:59:57,2024-01-01 06:47:09
137,GenomicsPlus Solutions,genomicsplus-solutions,Yes,DPIIT79770,2023,3,11,8,Kozhikode,Series B,75583219,233262672,256060568,2823,Yes,No,No,No,https://www.genomicsplus-solutions.io,hello@genomicsplus-solutions.io,+91-8071121023,https://linkedin.com/company/genomicsplus-solutions,Active,2023-06-29,313.3,466,5,"A innovative Cybersecurity startup based in Kozhikode, focused on AI-driven insights.",2023-04-10 01:08:56,2024-01-26 15:24:30
138,SaaSify Byte,saasify-byte,No,DPIIT49335,2019,1,15,1,Mangaluru,Series B,32202650,108344049,480956176,212,Yes,No,No,No,https://www.saasify-byte.com,hello@saasify-byte.io,+91-7846674728,https://linkedin.com/company/saasify-byte,Inactive,2022-11-09,5.49,164,10,"A pioneering Robotics startup based in Mangaluru, focused on digital transformation.",2019-12-30 19:51:31,2023-01-17 19:57:37
139,ZapCharge Solutions,zapcharge-solutions,Yes,DPIIT96074,2014,2,17,2,Nagpur,Bootstrapped,0,196665,263856859,86,No,No,No,No,https://www.zapcharge-solutions.com,hello@zapcharge-solutions.com,+91-9680788282,https://linkedin.com/company/zapcharge-solutions,Active,,146.1,3,5,"A leading FoodTech startup based in Nagpur, focused on sustainable growth.",2015-01-25 06:57:30,2024-01-25 12:02:44
140,SchoolSpark Solutions,schoolspark-solutions,No,DPIIT98055,2017,3,12,6,Vadodara,Bootstrapped,0,3561083,219611170,186,No,Yes,No,No,https://www.schoolspark-solutions.com,hello@schoolspark-solutions.com,+91-7552014218,https://linkedin.com/company/schoolspark-solutions,Active,,160.87,29,7,"A leading BioTech startup based in Vadodara, focused on scalable solutions.",2018-01-18 02:09:36,2023-08-31 02:55:04
141,EduPath Ventures,edupath-ventures,Yes,DPIIT22019,2022,1,5,9,Jaipur,Series B,78475266,365083149,339767109,2760,No,No,Yes,Yes,https://www.edupath-ventures.com,hello@edupath-ventures.in,+91-9944633862,https://linkedin.com/company/edupath-ventures,Active,2022-08-05,53.82,956,1,"A leading AI/ML startup based in Jaipur, focused on digital transformation.",2023-02-01 10:40:33,2023-07-17 15:52:12
142,VaultSec Box,vaultsec-box,No,DPIIT39847,2015,2,2,2,Nagpur,Series A,13515853,20697463,43712536,1490,No,Yes,No,No,https://www.vaultsec-box.co.in,hello@vaultsec-box.io,+91-9751334491,https://linkedin.com/company/vaultsec-box,Active,2017-12-14,49.63,586,1,"A emerging HealthTech startup based in Nagpur, focused on sustainable growth.",2015-12-20 23:15:33,2023-01-08 20:56:43
143,SnackBox Solutions,snackbox-solutions,No,DPIIT99270,2018,1,2,6,Ahmedabad,Pre-Seed,125163,2339537,333776957,198,No,No,No,Yes,https://www.snackbox-solutions.io,hello@snackbox-solutions.io,+91-8370369352,https://linkedin.com/company/snackbox-solutions,Failed,2018-11-24,-15.86,117,2,"A emerging HealthTech startup based in Ahmedabad, focused on sustainable growth.",2019-05-27 09:48:31,2023-11-17 17:47:12
144,ChargePod Pro,chargepod-pro,No,DPIIT59998,2019,2,14,1,Mangaluru,Series A,420203,40885507,496771307,3353,No,No,Yes,No,https://www.chargepod-pro.com,hello@chargepod-pro.in,+91-9842289404,https://linkedin.com/company/chargepod-pro,Failed,2024-03-17,-18.86,709,1,"A innovative EV startup based in Mangaluru, focused on scalable solutions.",2019-04-08 00:25:30,2023-06-03 08:21:12
145,HealthBridge Hub,healthbridge-hub,Yes,DPIIT28543,2018,4,9,3,Rohini,Seed,3040674,14741845,389549158,132,No,Yes,No,No,https://www.healthbridge-hub.in,hello@healthbridge-hub.in,+91-9106710988,https://linkedin.com/company/healthbridge-hub,Active,2022-11-18,332.59,5,2,"A innovative Renewable Energy startup based in Rohini, focused on sustainable growth.",2019-10-08 09:43:39,2024-03-15 19:07:38
146,PayZen Now,payzen-now,Yes,DPIIT72414,2017,2,5,2,Nagpur,Series A,12944398,23652843,10507869,3712,No,No,Yes,No,https://www.payzen-now.io,hello@payzen-now.io,+91-7834846171,https://linkedin.com/company/payzen-now,Active,2021-09-05,316.75,3696,1,"A pioneering AI/ML startup based in Nagpur, focused on market disruption.",2017-08-23 22:37:39,2023-08-31 07:31:36
147,LockSafe,locksafe,No,DPIIT28754,2019,1,13,2,Mumbai,Series C,247398228,716471701,44651723,4385,Yes,No,No,Yes,https://www.locksafe.co.in,hello@locksafe.com,+91-7959209282,https://linkedin.com/company/locksafe,Active,2024-03-10,124.14,27,2,"A pioneering Mobility startup based in Mumbai, focused on market disruption.",2020-05-09 17:09:50,2023-10-07 10:31:20
148,VaultSec Now,vaultsec-now,No,DPIIT36770,2020,2,4,2,Pune,Angel,692353,4215917,476008186,54,No,Yes,Yes,Yes,https://www.vaultsec-now.co.in,hello@vaultsec-now.com,+91-8583260877,https://linkedin.com/company/vaultsec-now,Failed,2024-06-24,-20.31,31,1,"A emerging AgriTech startup based in Pune, focused on AI-driven insights.",2021-07-22 05:38:28,2023-11-18 03:59:17
149,PowerGrid Solutions,powergrid-solutions,No,DPIIT94715,2013,4,15,2,Thane,Angel,2959876,6596284,174303927,9,No,No,No,No,https://www.powergrid-solutions.com,hello@powergrid-solutions.io,+91-8215084555,https://linkedin.com/company/powergrid-solutions,Inactive,2014-03-06,183.55,7,18,"A leading Robotics startup based in Thane, focused on market disruption.",2013-02-27 23:45:45,2023-05-16 15:04:59
150,FarmByte India,farmbyte-india,Yes,DPIIT81840,2018,4,8,4,Karimnagar,Pre-Seed,1255639,4878870,182547223,25,No,Yes,No,No,https://www.farmbyte-india.in,hello@farmbyte-india.com,+91-8119932866,https://linkedin.com/company/farmbyte-india,Active,2021-11-08,134.05,9,1,"A leading Logistics startup based in Karimnagar, focused on market disruption.",2018-01-25 01:41:53,2024-12-15 07:30:02
151,CloudNest Labs,cloudnest-labs,Yes,DPIIT86380,2012,4,5,6,Surat,Series A,10418206,41633689,406854585,3292,No,No,Yes,Yes,https://www.cloudnest-labs.io,hello@cloudnest-labs.io,+91-7346292198,https://linkedin.com/company/cloudnest-labs,Active,2023-06-11,-5.15,2384,2,"A innovative AI/ML startup based in Surat, focused on AI-driven insights.",2012-08-05 04:34:00,2024-10-04 23:39:18
152,HealNow Now,healnow-now,Yes,DPIIT63174,2017,4,6,3,Janakpuri,Bootstrapped,0,2149817,180575666,55,No,Yes,Yes,Yes,https://www.healnow-now.co.in,hello@healnow-now.com,+91-7882973081,https://linkedin.com/company/healnow-now,Active,,144.85,14,4,"A pioneering SaaS startup based in Janakpuri, focused on scalable solutions.",2018-08-31 09:23:29,2023-02-25 20:40:14
153,AppSuite Solutions,appsuite-solutions,No,DPIIT97428,2019,4,10,2,Mumbai,Pre-Seed,879414,4927724,180278387,57,No,Yes,Yes,Yes,https://www.appsuite-solutions.com,hello@appsuite-solutions.com,+91-7134002688,https://linkedin.com/company/appsuite-solutions,Inactive,2023-05-11,187.51,41,1,"A leading DeepTech startup based in Mumbai, focused on sustainable growth.",2019-01-01 09:28:24,2024-08-04 05:06:03
154,BuildBot Labs,buildbot-labs,Yes,DPIIT13980,2013,3,12,5,Salem,Pre-Seed,1375533,2251157,160702948,13,No,No,Yes,Yes,https://www.buildbot-labs.com,hello@buildbot-labs.io,+91-8008470435,https://linkedin.com/company/buildbot-labs,Active,2019-10-11,320.18,9,27,"A pioneering BioTech startup based in Salem, focused on sustainable growth.",2013-01-24 22:36:30,2023-03-06 23:44:09
155,GenomicsPlus India,genomicsplus-india,Yes,DPIIT45033,2012,1,1,3,Janakpuri,Pre-Seed,1406992,6017076,222418585,49,No,Yes,No,No,https://www.genomicsplus-india.in,hello@genomicsplus-india.io,+91-8924098645,https://linkedin.com/company/genomicsplus-india,Active,2024-12-07,242.66,2,5,"A leading FinTech startup based in Janakpuri, focused on market disruption.",2013-03-21 17:44:31,2023-08-26 22:54:47
156,DataPulse Solutions,datapulse-solutions,No,DPIIT58773,2022,2,15,3,Rohini,Bootstrapped,0,4568358,88990305,100,No,No,No,No,https://www.datapulse-solutions.in,hello@datapulse-solutions.io,+91-9123907172,https://linkedin.com/company/datapulse-solutions,Inactive,,130.59,88,17,"A emerging Robotics startup based in Rohini, focused on sustainable growth.",2023-03-19 02:38:16,2023-05-21 10:59:22
157,GreenCap Hub,greencap-hub,No,DPIIT81302,2022,2,2,3,Dwarka,Angel,1108385,4174094,184421880,143,No,Yes,No,Yes,https://www.greencap-hub.io,hello@greencap-hub.io,+91-9854593912,https://linkedin.com/company/greencap-hub,Active,2022-11-23,284.67,44,5,"A innovative HealthTech startup based in Dwarka, focused on sustainable growth.",2023-05-16 03:20:46,2024-01-18 17:59:25
158,OrderFresh Plus,orderfresh-plus,No,DPIIT50180,2022,2,12,8,Thiruvananthapuram,Series C,264630158,1203932558,58137360,1899,No,Yes,No,No,https://www.orderfresh-plus.in,hello@orderfresh-plus.io,+91-9741256933,https://linkedin.com/company/orderfresh-plus,Active,2024-07-18,275.98,199,30,"A innovative BioTech startup based in Thiruvananthapuram, focused on digital transformation.",2022-01-17 00:18:07,2023-08-01 05:52:49
159,SoilSense India,soilsense-india,No,DPIIT93259,2016,3,4,1,Hubballi,Series A,10998094,43542067,6673892,4945,No,No,No,No,https://www.soilsense-india.com,hello@soilsense-india.in,+91-8372808348,https://linkedin.com/company/soilsense-india,Acquired,2019-11-06,209.13,2881,0,"A pioneering AgriTech startup based in Hubballi, focused on AI-driven insights.",2017-01-27 17:49:06,2024-03-08 22:37:39
160,PharmaBio Ventures,pharmabio-ventures,Yes,DPIIT71509,2020,2,1,15,Muzaffarpur,Series A,13178027,25594010,255944851,2115,No,Yes,Yes,No,https://www.pharmabio-ventures.in,hello@pharmabio-ventures.io,+91-8763544042,https://linkedin.com/company/pharmabio-ventures,Active,2020-07-07,120.54,390,0,"A innovative FinTech startup based in Muzaffarpur, focused on market disruption.",2021-11-22 00:59:32,2024-03-31 02:32:11
161,TechDeep Solutions,techdeep-solutions,No,DPIIT20069,2014,2,2,6,Rajkot,Angel,715282,4418837,278420701,130,No,Yes,No,No,https://www.techdeep-solutions.com,hello@techdeep-solutions.in,+91-9808356849,https://linkedin.com/company/techdeep-solutions,Failed,2024-02-13,-50.13,47,3,"A leading HealthTech startup based in Rajkot, focused on sustainable growth.",2014-07-07 07:21:55,2024-11-30 18:54:31
162,ChargePod Box,chargepod-box,No,DPIIT46556,2019,4,4,3,New Delhi,Seed,1553643,7407299,303135251,11,No,No,No,No,https://www.chargepod-box.com,hello@chargepod-box.com,+91-7374705652,https://linkedin.com/company/chargepod-box,Inactive,2024-07-25,19.34,6,5,"A pioneering AgriTech startup based in New Delhi, focused on AI-driven insights.",2020-02-15 16:58:15,2023-05-21 03:01:10
163,MobiVenture Pro,mobiventure-pro,No,DPIIT61211,2019,4,15,2,Pune,Series B,56635996,185165476,300234923,2204,No,Yes,No,Yes,https://www.mobiventure-pro.com,hello@mobiventure-pro.io,+91-9860066808,https://linkedin.com/company/mobiventure-pro,Active,2019-10-01,54.91,1091,18,"A leading Robotics startup based in Pune, focused on sustainable growth.",2019-05-21 10:58:15,2024-05-06 06:12:42
164,LockSafe Hub,locksafe-hub,Yes,DPIIT42383,2014,2,6,3,New Delhi,Series A,15626630,65519202,291663428,630,No,No,No,No,https://www.locksafe-hub.in,hello@locksafe-hub.in,+91-8745438052,https://linkedin.com/company/locksafe-hub,Active,2021-06-25,169.95,63,3,"A leading SaaS startup based in New Delhi, focused on sustainable growth.",2015-02-09 00:12:42,2024-01-18 12:28:38
165,RetailX Labs,retailx-labs,Yes,DPIIT29079,2022,3,16,6,Surat,Series B,73047382,246351630,478140878,3380,No,No,Yes,No,https://www.retailx-labs.co.in,hello@retailx-labs.in,+91-8995042780,https://linkedin.com/company/retailx-labs,Active,2022-11-19,201.93,2665,2,"A pioneering ClimateTech startup based in Surat, focused on market disruption.",2023-09-12 10:58:19,2024-04-26 16:31:24
166,MetroRide Box,metroride-box,No,DPIIT52488,2020,3,5,4,Karimnagar,Series A,6526520,26220564,184829981,4414,No,Yes,Yes,No,https://www.metroride-box.io,hello@metroride-box.in,+91-7823974612,https://linkedin.com/company/metroride-box,Active,2023-06-16,199.94,2746,4,"A emerging AI/ML startup based in Karimnagar, focused on sustainable growth.",2020-09-27 19:27:42,2024-11-05 06:49:39
167,TaxiApp Byte,taxiapp-byte,No,DPIIT54220,2015,2,7,1,Mangaluru,Series B,1320016,212088766,297837642,2680,No,Yes,No,No,https://www.taxiapp-byte.io,hello@taxiapp-byte.com,+91-8682039070,https://linkedin.com/company/taxiapp-byte,Failed,2023-12-13,-65.6,1985,5,"A pioneering E-Commerce startup based in Mangaluru, focused on market disruption.",2016-04-15 17:21:09,2023-09-18 19:04:16
168,FoodRoot AI,foodroot-ai,No,DPIIT67301,2021,4,1,8,Thrissur,Pre-Seed,1290036,3627978,245147717,145,Yes,No,Yes,No,https://www.foodroot-ai.in,hello@foodroot-ai.com,+91-8551921696,https://linkedin.com/company/foodroot-ai,Failed,2022-07-22,-45.73,15,0,"A leading FinTech startup based in Thrissur, focused on sustainable growth.",2021-04-21 17:34:17,2023-05-11 03:59:47
169,SoilSense AI,soilsense-ai,Yes,DPIIT38819,2015,3,2,2,Thane,Pre-Seed,1208010,4137117,153572326,115,No,Yes,No,No,https://www.soilsense-ai.in,hello@soilsense-ai.io,+91-9646973915,https://linkedin.com/company/soilsense-ai,Active,2017-08-02,36.13,4,1,"A leading HealthTech startup based in Thane, focused on market disruption.",2016-09-20 08:51:31,2023-05-08 03:15:54
170,ClassBot Labs,classbot-labs,No,DPIIT63547,2012,3,6,2,Thane,Bootstrapped,0,1848359,151039681,32,No,No,No,No,https://www.classbot-labs.co.in,hello@classbot-labs.io,+91-8632786090,https://linkedin.com/company/classbot-labs,Active,,145.08,2,4,"A pioneering SaaS startup based in Thane, focused on scalable solutions.",2013-11-20 15:27:50,2024-06-20 10:20:01
171,EVolt Now,evolt-now,No,DPIIT48099,2014,2,7,5,Salem,Series A,16802039,30394395,323634476,3143,No,Yes,No,No,https://www.evolt-now.com,hello@evolt-now.io,+91-9419394235,https://linkedin.com/company/evolt-now,Acquired,2022-11-02,110.71,1001,5,"A leading E-Commerce startup based in Salem, focused on AI-driven insights.",2014-01-23 12:36:22,2024-01-04 12:01:31
172,ServeCloud Box,servecloud-box,No,DPIIT14757,2016,2,3,3,Janakpuri,Series A,10842330,31601684,145483581,3053,No,No,No,No,https://www.servecloud-box.com,hello@servecloud-box.io,+91-7681841831,https://linkedin.com/company/servecloud-box,Active,2021-05-14,218.65,380,4,"A leading EdTech startup based in Janakpuri, focused on sustainable growth.",2016-03-22 16:59:16,2024-04-08 04:18:09
173,HydroGen AI,hydrogen-ai,No,DPIIT35609,2013,3,8,2,Pune,Series A,7795567,29158699,36851651,1949,No,No,No,Yes,https://www.hydrogen-ai.com,hello@hydrogen-ai.in,+91-7767642077,https://linkedin.com/company/hydrogen-ai,Active,2014-03-04,311.12,1095,0,"A emerging Logistics startup based in Pune, focused on market disruption.",2014-01-13 23:11:09,2024-06-30 05:15:50
174,FinFlow Ventures,finflow-ventures,No,DPIIT58128,2018,2,17,9,Udaipur,Bootstrapped,0,4201963,271856607,19,Yes,No,No,No,https://www.finflow-ventures.in,hello@finflow-ventures.in,+91-7752242052,https://linkedin.com/company/finflow-ventures,Active,,37.69,5,5,"A innovative FoodTech startup based in Udaipur, focused on scalable solutions.",2019-10-18 19:48:02,2023-03-10 12:08:00
175,KisanTech Hub,kisantech-hub,No,DPIIT14773,2019,4,13,4,Warangal,Series B,68736801,211525868,478166946,4351,No,Yes,Yes,No,https://www.kisantech-hub.io,hello@kisantech-hub.com,+91-9595859995,https://linkedin.com/company/kisantech-hub,Inactive,2024-10-29,166.17,3380,3,"A emerging Mobility startup based in Warangal, focused on sustainable growth.",2020-01-18 00:20:31,2023-07-23 00:13:27
176,AirClean Plus,airclean-plus,No,DPIIT16730,2012,4,5,6,Rajkot,Series B,630411,166794794,132260527,1215,No,Yes,Yes,No,https://www.airclean-plus.com,hello@airclean-plus.in,+91-8606470862,https://linkedin.com/company/airclean-plus,Failed,2017-02-03,-47.57,110,2,"A emerging AI/ML startup based in Rajkot, focused on AI-driven insights.",2013-10-31 13:04:38,2023-10-29 11:52:32
177,CropBot Hub,cropbot-hub,Yes,DPIIT58662,2014,2,3,1,Hubballi,Series A,8246044,22782407,495987081,4201,No,Yes,No,No,https://www.cropbot-hub.co.in,hello@cropbot-hub.in,+91-9670493311,https://linkedin.com/company/cropbot-hub,Active,2014-02-15,2.16,2677,2,"A pioneering EdTech startup based in Hubballi, focused on digital transformation.",2015-06-14 18:07:56,2024-03-24 15:27:48
178,GaiaTech,gaiatech,No,DPIIT15490,2023,3,5,5,Chennai,Bootstrapped,1633961,3170264,178249036,174,No,Yes,Yes,No,https://www.gaiatech.com,hello@gaiatech.com,+91-7835342988,https://linkedin.com/company/gaiatech,Failed,,-53.13,109,4,"A innovative AI/ML startup based in Chennai, focused on AI-driven insights.",2023-06-05 13:35:36,2023-09-19 06:00:04
179,AIcraft,aicraft,No,DPIIT53332,2019,4,3,2,Nashik,Seed,4838350,12814270,497509913,177,No,No,No,No,https://www.aicraft.io,hello@aicraft.io,+91-8053540619,https://linkedin.com/company/aicraft,Active,2020-04-12,193.51,59,0,"A emerging EdTech startup based in Nashik, focused on AI-driven insights.",2019-10-06 10:32:19,2024-05-25 23:25:03
180,SunPower Solutions,sunpower-solutions,No,DPIIT84261,2015,2,4,7,Kanpur,Bootstrapped,1998288,4655795,121057871,61,No,No,Yes,No,https://www.sunpower-solutions.in,hello@sunpower-solutions.io,+91-9066625181,https://linkedin.com/company/sunpower-solutions,Failed,,-51.11,61,5,"A leading AgriTech startup based in Kanpur, focused on sustainable growth.",2015-02-28 13:25:52,2024-03-18 04:26:30
181,AgriVision Ventures,agrivision-ventures,No,DPIIT87784,2021,4,10,14,Bhopal,Seed,4687237,15282909,499127897,106,No,No,Yes,Yes,https://www.agrivision-ventures.com,hello@agrivision-ventures.com,+91-7353519841,https://linkedin.com/company/agrivision-ventures,Acquired,2022-03-15,104.36,103,23,"A leading DeepTech startup based in Bhopal, focused on scalable solutions.",2022-07-08 13:31:57,2023-04-05 22:41:09
182,DataPulse,datapulse,Yes,DPIIT86397,2017,1,5,3,New Delhi,Angel,2038332,8751179,369111822,184,No,Yes,Yes,Yes,https://www.datapulse.com,hello@datapulse.com,+91-7729862637,https://linkedin.com/company/datapulse,Active,2024-06-21,310.37,102,3,"A leading AI/ML startup based in New Delhi, focused on sustainable growth.",2018-08-31 09:39:53,2024-06-22 02:53:39
183,KisanTech Tech,kisantech-tech,Yes,DPIIT69311,2021,1,6,1,Mangaluru,Series B,66972361,238673664,52604134,4116,No,No,No,No,https://www.kisantech-tech.io,hello@kisantech-tech.io,+91-8722685738,https://linkedin.com/company/kisantech-tech,Active,2022-04-04,295.3,3426,1,"A pioneering SaaS startup based in Mangaluru, focused on sustainable growth.",2021-08-04 07:29:09,2024-12-21 04:02:05
184,GreenPath Pro,greenpath-pro,No,DPIIT94451,2016,3,4,9,Jodhpur,IPO,570818615,1176904825,389034046,651,Yes,No,No,No,https://www.greenpath-pro.in,hello@greenpath-pro.in,+91-9818278815,https://linkedin.com/company/greenpath-pro,Inactive,2024-08-21,141.07,36,2,"A innovative AgriTech startup based in Jodhpur, focused on AI-driven insights.",2016-07-15 11:04:03,2023-02-02 08:24:11
185,CropLink Hub,croplink-hub,Yes,DPIIT53850,2022,1,11,3,Janakpuri,Series A,18686537,49968241,401119825,3509,No,Yes,Yes,No,https://www.croplink-hub.in,hello@croplink-hub.io,+91-9593824539,https://linkedin.com/company/croplink-hub,Active,2023-10-07,333.09,2030,2,"A innovative Cybersecurity startup based in Janakpuri, focused on scalable solutions.",2023-03-04 01:49:00,2024-10-08 11:45:21
186,DocAI Pro,docai-pro,No,DPIIT90245,2015,3,4,3,New Delhi,Series A,18829862,93291675,270013610,1702,No,Yes,No,Yes,https://www.docai-pro.co.in,hello@docai-pro.io,+91-9538218912,https://linkedin.com/company/docai-pro,Inactive,2016-08-28,347.64,1122,2,"A emerging AgriTech startup based in New Delhi, focused on digital transformation.",2015-10-19 10:01:26,2024-08-26 20:50:04
187,LockSafe AI,locksafe-ai,Yes,DPIIT39071,2016,2,11,13,Vijayawada,Bootstrapped,0,1869816,242200714,72,Yes,No,Yes,Yes,https://www.locksafe-ai.co.in,hello@locksafe-ai.com,+91-7326871532,https://linkedin.com/company/locksafe-ai,Active,,126.08,37,4,"A emerging Cybersecurity startup based in Vijayawada, focused on digital transformation.",2017-05-28 23:50:49,2024-10-17 09:49:38
188,MoneyMap,moneymap,No,DPIIT42190,2015,3,7,4,Karimnagar,Series A,1621947,40698207,419584723,999,No,No,Yes,No,https://www.moneymap.io,hello@moneymap.com,+91-9823757041,https://linkedin.com/company/moneymap,Failed,2019-05-13,-49.93,301,5,"A pioneering E-Commerce startup based in Karimnagar, focused on AI-driven insights.",2015-06-15 13:13:46,2023-06-17 11:06:48
189,KisanTech Solutions,kisantech-solutions,No,DPIIT80070,2013,1,3,20,Panaji,IPO,560792306,2673057041,2786823,2012,No,No,No,No,https://www.kisantech-solutions.io,hello@kisantech-solutions.com,+91-8530121023,https://linkedin.com/company/kisantech-solutions,Active,2019-01-22,104.89,1617,0,"A pioneering EdTech startup based in Panaji, focused on scalable solutions.",2014-02-02 06:34:16,2023-01-19 19:51:50
190,DroneBot India,dronebot-india,Yes,DPIIT31957,2022,3,5,20,Margao,Angel,2689790,13007294,105244461,127,No,Yes,Yes,No,https://www.dronebot-india.com,hello@dronebot-india.io,+91-7973888969,https://linkedin.com/company/dronebot-india,Active,2023-12-21,278.69,108,5,"A emerging AI/ML startup based in Margao, focused on market disruption.",2023-04-14 12:20:41,2024-01-13 06:57:02
191,EduLeap Hub,eduleap-hub,No,DPIIT27795,2018,4,12,2,Thane,Pre-Seed,1893725,5965657,349277194,91,Yes,No,No,No,https://www.eduleap-hub.com,hello@eduleap-hub.io,+91-7139500950,https://linkedin.com/company/eduleap-hub,Inactive,2018-01-31,187.72,83,10,"A innovative BioTech startup based in Thane, focused on sustainable growth.",2019-07-04 13:18:02,2023-04-20 01:19:42
192,QuickPay AI,quickpay-ai,No,DPIIT28012,2013,3,11,20,Vasco,Bootstrapped,746730,624089,286058229,98,No,No,No,Yes,https://www.quickpay-ai.io,hello@quickpay-ai.com,+91-7408697325,https://linkedin.com/company/quickpay-ai,Failed,,-57.06,35,2,"A pioneering Cybersecurity startup based in Vasco, focused on digital transformation.",2013-07-07 18:13:37,2023-03-22 07:03:17
